CodiceBambino,Gruppo,DC,SO,MC,CI,CR,VC,LN,RM,CO,RS,QI.totale,IndiceComprensioneVerbale,IndiceRagionamentoPercettivo,IndiceMemoriaLavoro,IndiceVelocitaElaborazione
1,Tipico,12,6,5,12,13,8,5,10,9,8,90,86,109,70,103
2,Tipico,11,17,11,5,6,16,8,13,17,10,111,139,98,97,88
3,Tipico,14,10,11,9,9,10,11,7,14,7,102,108,100,106,88
4,Tipico,12,15,10,12,6,15,6,11,12,10,107,124,111,88,88
5,Tipico,15,12,10,10,6,12,11,9,8,9,102,104,109,103,85
6,Tipico,15,11,10,11,11,13,16,11,9,9,113,106,115,118,100
7,Tipico,6,7,8,11,6,8,8,4,8,7,78,86,81,88,80
8,Tipico,10,12,8,8,12,9,5,8,5,11,90,92,91,79,109
9,Tipico,11,15,14,11,12,8,10,10,11,10,110,108,104,112,106
10,Tipico,11,16,9,10,8,14,12,14,12,7,110,124,111,103,85
11,Tipico,10,12,13,8,7,9,12,9,10,12,102,102,94,115,97
12,Tipico,12,7,12,9,8,8,10,10,5,10,93,80,102,106,94
13,Tipico,6,17,16,6,10,16,11,12,16,13,119,137,87,121,109
14,Tipico,10,9,9,13,5,9,10,15,4,8,94,84,117,97,80
15,Tipico,7,9,9,10,10,11,7,8,12,10,94,104,89,88,100
16,Tipico,11,13,9,12,13,13,12,13,10,11,114,112,113,103,112
17,Tipico,9,9,8,6,5,8,14,13,10,10,94,94,96,106,85
18,Tipico,11,12,11,15,9,13,11,15,11,9,114,112,124,106,94
19,Tipico,11,5,7,9,11,5,8,7,5,4,77,70,94,85,85
20,Tipico,12,16,12,14,9,13,13,16,16,12,127,129,126,115,103
21,Tipico,16,8,10,8,9,8,15,11,9,9,102,90,111,115,94
22,Tipico,14,11,7,8,6,9,11,15,7,11,99,94,115,94,91
23,Tipico,7,15,6,13,12,10,9,11,13,9,104,116,102,85,103
24,Tipico,9,8,8,7,10,12,12,11,13,10,100,106,94,100,100
25,Tipico,11,5,8,5,6,9,10,9,11,9,86,90,89,94,85
26,Tipico,1,5,7,4,5,5,10,6,8,3,63,76,59,91,65
27,Tipico,17,12,10,12,12,13,6,12,14,11,115,118,124,88,109
28,Tipico,5,8,9,3,8,11,7,2,8,11,77,94,57,88,97
29,Tipico,2,11,10,10,11,11,9,7,8,10,91,100,76,97,103
30,Tipico,10,11,7,11,8,8,6,15,7,7,92,92,113,79,85
31,Tipico,8,8,13,7,12,7,11,10,11,7,95,92,89,112,97
32,Tipico,13,9,3,4,8,9,13,11,11,5,89,98,96,88,80
33,Tipico,10,13,11,13,14,12,11,14,9,10,114,108,115,106,112
34,Tipico,11,6,10,6,10,8,11,14,11,13,100,90,102,103,109
35,Tipico,7,10,11,6,7,10,5,6,12,5,83,104,76,88,77
36,Tipico,12,11,9,11,14,8,13,12,10,9,107,98,111,106,109
37,Tipico,6,8,3,8,9,10,5,2,10,8,75,96,70,65,91
38,Tipico,12,10,11,12,14,12,8,11,8,14,110,100,111,97,123
39,Tipico,9,10,12,10,13,13,14,15,13,11,116,112,109,118,112
40,Tipico,11,13,12,12,13,12,12,7,10,12,111,110,100,112,115
41,Tipico,12,6,12,10,9,12,12,7,11,8,99,98,98,112,91
42,Tipico,13,6,10,13,7,10,9,11,11,13,102,94,115,97,100
43,Tipico,8,11,14,7,9,8,12,9,9,11,98,96,87,118,100
44,Tipico,9,10,12,8,14,15,14,9,10,8,107,110,91,118,106
45,Tipico,9,9,12,5,6,9,8,8,11,4,85,98,83,100,71
46,Tipico,7,7,3,8,3,7,7,7,9,4,69,86,83,70,62
47,Tipico,6,9,7,4,11,11,11,7,8,11,88,96,72,94,106
48,Tipico,7,5,7,8,9,8,5,5,8,3,72,82,78,76,77
49,Tipico,11,9,10,13,13,9,9,11,11,12,106,98,111,97,115
50,Tipico,7,11,13,16,11,7,11,8,9,12,104,94,102,112,109
51,Tipico,4,7,4,6,8,7,3,6,8,11,71,84,70,62,97
52,Tipico,3,5,8,8,6,8,7,6,9,6,73,84,72,85,77
53,Tipico,15,12,13,10,8,11,13,13,12,10,114,110,117,118,94
54,Tipico,7,16,9,14,12,12,13,15,15,11,119,126,113,106,109
55,Tipico,10,9,12,10,8,10,13,10,10,6,98,98,100,115,82
56,Tipico,7,8,10,11,9,9,10,11,4,12,93,82,98,100,103
57,Tipico,5,11,10,9,11,10,7,8,13,8,94,108,83,91,97
58,Tipico,11,11,8,13,9,12,9,13,7,8,101,100,115,91,91
59,Tipico,12,15,14,16,13,16,13,16,12,15,134,126,130,121,123
60,Tipico,9,8,6,12,3,9,7,7,8,4,78,90,96,79,62
61,Tipico,9,16,13,11,10,15,12,12,16,12,121,133,104,115,106
62,Tipico,15,9,11,13,12,12,13,14,11,15,120,104,126,112,120
63,Tipico,10,7,12,11,14,5,12,6,9,13,99,82,94,112,120
64,Tipico,7,9,10,14,10,10,12,9,9,9,99,96,100,106,97
65,Tipico,13,14,8,10,19,11,7,14,12,19,122,114,115,85,153
66,Tipico,10,7,10,10,8,8,13,12,9,15,102,88,104,109,109
67,Tipico,10,10,12,15,6,10,9,11,14,6,102,108,113,103,77
68,Tipico,13,10,6,8,14,11,9,7,12,17,106,106,96,85,132
69,Tipico,13,7,11,13,7,12,13,7,8,15,105,94,106,112,106
70,Tipico,10,9,10,13,7,11,10,10,11,10,101,102,106,100,91
71,Tipico,11,11,8,11,9,11,9,11,10,11,102,104,106,91,100
72,Tipico,13,13,11,14,15,14,9,12,16,15,126,126,119,100,129
73,Tipico,11,8,12,8,13,8,11,9,6,12,98,84,96,109,115
74,Tipico,8,8,10,8,15,6,1,9,7,8,84,82,89,73,109
75,Tipico,11,16,16,9,8,13,11,11,11,10,113,120,102,121,94
76,Tipico,13,10,9,8,10,10,11,10,9,7,98,98,102,100,91
77,Tipico,10,9,9,9,10,6,12,14,9,14,102,88,106,103,112
78,Tipico,4,12,14,13,14,17,17,15,16,10,126,129,104,133,112
79,Tipico,8,7,4,9,12,10,9,11,8,7,88,90,96,79,97
80,Tipico,14,15,13,12,9,12,15,11,12,11,119,118,115,124,100
81,Tipico,7,5,10,8,11,5,6,11,7,7,81,74,91,88,94
82,Tipico,12,11,8,13,10,10,13,11,10,14,110,102,113,103,112
83,Tipico,7,5,5,7,11,3,9,7,6,5,72,69,81,82,88
84,Tipico,5,3,7,8,6,5,11,6,12,4,73,80,76,94,71
85,Tipico,10,14,11,12,11,13,11,12,14,10,115,122,109,106,103
86,Tipico,6,11,14,8,15,8,11,11,14,8,105,106,89,115,109
87,Tipico,11,3,4,13,4,9,8,11,9,9,85,82,111,76,80
88,Tipico,12,11,13,18,11,13,10,12,15,11,121,118,126,109,106
89,Tipico,6,8,7,11,6,10,7,10,9,7,85,94,94,82,80
90,Tipico,15,9,13,8,11,11,11,10,12,9,107,104,106,112,100
91,Tipico,12,15,12,9,17,15,9,14,11,10,119,122,111,103,120
92,Tipico,7,14,9,6,5,11,8,7,13,5,88,116,78,91,71
93,Tipico,3,6,5,5,6,8,7,6,4,7,65,76,66,76,80
94,Tipico,10,11,8,11,14,11,13,11,11,13,110,106,104,103,120
95,Tipico,12,15,9,12,5,12,8,12,9,9,102,112,113,91,82
96,Tipico,13,9,10,7,15,10,15,13,6,13,109,90,106,115,123
97,Tipico,11,9,11,12,9,5,9,11,8,8,94,84,109,100,91
98,Tipico,11,8,10,12,14,8,10,11,11,10,104,94,109,100,112
99,Tipico,14,12,10,10,15,11,14,12,9,16,119,104,113,112,132
100,Tipico,14,14,11,17,13,11,11,10,13,10,119,116,124,106,109
101,Tipico,8,8,9,8,8,8,7,9,12,6,86,96,89,88,82
102,Tipico,6,4,3,6,6,6,8,8,5,4,64,70,78,73,71
103,Tipico,9,9,8,6,6,10,8,7,10,4,81,98,83,88,71
104,Tipico,10,9,10,7,10,10,7,10,9,8,92,96,94,91,94
105,Tipico,8,10,11,10,10,12,11,7,13,10,102,110,89,106,100
106,Tipico,14,12,9,11,8,10,8,10,13,14,107,110,111,91,106
107,Tipico,5,8,13,10,7,12,6,3,8,9,85,96,74,97,88
108,Tipico,10,14,10,13,8,11,8,11,15,8,106,120,109,94,88
109,Tipico,15,16,11,12,8,17,9,15,13,5,117,131,126,100,80
110,Tipico,4,12,9,10,3,11,9,7,11,3,83,108,81,94,59
111,Tipico,8,8,11,8,10,8,12,11,9,9,95,90,94,109,97
112,Tipico,8,13,12,10,7,14,11,6,14,4,99,122,87,109,74
113,Tipico,9,9,8,4,7,10,8,5,6,5,77,90,74,88,77
114,Tipico,10,13,10,17,10,11,12,13,13,15,119,114,121,106,115
115,Tipico,7,10,7,10,8,9,11,13,12,5,94,102,100,94,80
116,Tipico,9,8,10,11,8,9,12,6,10,8,93,94,91,106,88
117,Tipico,7,3,11,4,14,6,8,8,8,11,84,74,76,97,115
118,Tipico,9,7,11,4,7,6,6,7,5,6,74,76,78,91,80
119,Tipico,6,7,8,7,10,6,12,13,5,6,84,76,91,100,88
120,Tipico,14,4,10,11,9,9,11,9,14,7,98,94,109,103,88
121,Tipico,9,13,9,10,5,12,9,14,14,5,100,118,106,94,71
122,Tipico,4,10,11,8,6,10,11,10,13,10,94,106,83,106,88
123,Tipico,12,14,10,8,6,7,9,9,9,8,94,100,98,97,82
124,Tipico,5,11,10,11,9,10,14,12,9,13,103,100,96,112,106
125,Tipico,9,12,9,13,9,10,13,8,10,9,102,104,100,106,94
126,Tipico,9,8,7,12,7,10,12,7,9,11,94,94,96,97,94
127,Tipico,9,3,12,3,13,2,2,1,2,9,64,55,63,82,106
128,Tipico,14,12,13,12,15,12,10,13,10,14,120,108,119,109,126
129,Tipico,10,9,11,8,6,11,8,11,8,12,95,96,98,97,94
130,Tipico,9,4,14,14,12,12,13,9,8,5,100,88,104,121,91
131,Tipico,15,13,9,12,16,9,11,9,6,14,111,96,113,100,129
132,Tipico,9,9,5,9,13,9,10,8,8,11,93,92,91,85,112
133,Tipico,10,10,12,14,12,11,10,13,9,11,110,100,115,106,109
134,Tipico,11,7,4,6,7,7,5,12,7,11,81,82,98,67,94
135,Tipico,9,9,13,8,13,8,7,16,5,9,98,84,106,100,106
136,Tipico,10,11,11,10,5,11,13,8,12,10,101,108,96,112,85
137,Tipico,8,10,9,9,9,11,7,9,11,14,98,104,91,88,109
